id,category,question,answer
account_01,Account,"How can I reset my password?","Go to the sign-in page and click 'Forgot password'. We will email you a link to create a new password within a few minutes."
account_02,Account,"I forgot my password. What should I do?","Go to the sign-in page and click 'Forgot password'. We will email you a link to create a new password within a few minutes."
account_03,Account,"I can't remember my login password.","Go to the sign-in page and click 'Forgot password'. We will email you a link to create a new password within a few minutes."
account_04,Account,"How do I change my password?","Sign in to your account, open Settings > Security, and choose 'Change password'. You will need your current password to confirm the change."
account_05,Account,"How do I update my email address?","Go to Settings > Account and select 'Edit' next to your email. We will send a verification link to the new address before the change takes effect."
account_06,Account,"I want to close or delete my account.","You can request account deletion from Settings > Account > Close account. The request takes up to 14 days to process and cannot be undone."
account_07,Account,"How do I change my username?","You can change your username once every 30 days from Settings > Profile > Username. Usernames must be unique and contain 3 to 20 characters."
account_08,Account,"What if I log in with the wrong password too many times?","After five failed attempts we temporarily lock the account for 30 minutes. You can use the 'Forgot password' link to reset it immediately."
account_09,Account,"How do I change the email on my account?","Go to Settings > Account and select 'Edit' next to your email. We will send a verification link to the new address before the change takes effect."
account_10,Account,"Can I pick a new username?","You can change your username once every 30 days from Settings > Profile > Username. Usernames must be unique and contain 3 to 20 characters."
payments_01,Payments,"What payment methods do you accept?","We accept Visa, Mastercard, American Express, PayPal, Apple Pay and Google Pay. Gift cards can also be used at checkout."
payments_02,Payments,"How can I add a credit card to my account?","Open Settings > Payments > Add payment method and enter your card details. We store the card securely and use it only with your consent."
payments_03,Payments,"Why was my card declined?","A card is usually declined because of insufficient funds, an expired card or a bank security block. Check the card details and try again, or contact your bank to lift the block."
payments_04,Payments,"When will I be charged for my order?","We place a temporary authorization when you place the order and charge your card when the order is confirmed and picked up for packing."
payments_05,Payments,"Can I pay with PayPal?","Yes. Select PayPal at checkout and you will be redirected to PayPal to approve the payment before your order is placed."
payments_06,Payments,"How do I update my billing information?","Go to Settings > Payments > Billing address to update the address used for receipts and payment verification."
