question,best_id,best_score,top_ids,answered,fallback,expected_id_set,out_of_scope,expected_expanded
How can I reset my password?,account_01,1.0,"['account_01', 'account_04', 'account_02']",True,False,"('account_01',)",False,"{'account_01', 'account_03', 'account_02'}"
I forgot my password,account_02,0.8076670968754477,"['account_02', 'account_04', 'account_01']",True,False,"('account_01',)",False,"{'account_01', 'account_03', 'account_02'}"
I can't remember my password,account_03,0.7129879986163752,"['account_03', 'account_04', 'account_01']",True,False,"('account_01',)",False,"{'account_01', 'account_03', 'account_02'}"
Reset my login details,account_01,0.3663739548655872,"['account_01', 'account_03']",True,False,"('account_01',)",False,"{'account_01', 'account_03', 'account_02'}"
What steps do I follow to create a new password?,orders_12,0.2964639049452289,"['orders_12', 'account_02', 'account_10']",False,True,"('account_01', 'account_04')",False,"{'account_01', 'account_04', 'account_02', 'account_11', 'account_03'}"
Can I change my password,account_04,0.8463431462421093,"['account_04', 'account_07', 'account_01']",True,False,"('account_04',)",False,"{'account_04', 'account_11'}"
I want a different password,account_11,0.7303160779669059,"['account_11', 'account_04', 'returns_04']",True,False,"('account_04',)",False,"{'account_04', 'account_11'}"
How can I update the email on my account,account_05,0.669054741163807,"['account_05', 'account_09', 'tech_06']",True,False,"('account_05',)",False,"{'account_09', 'account_05'}"
Change my contact email,account_09,0.3714012625267988,"['account_09', 'general_01', 'account_04']",True,False,"('account_05',)",False,"{'account_09', 'account_05'}"
I want to delete my profile completely,account_06,0.5354413040636332,"['account_06', 'returns_04', 'account_11']",True,False,"('account_06',)",False,{'account_06'}
Close my account permanently,account_06,0.4664869082195854,"['account_06', 'tech_08', 'account_09']",True,False,"('account_06',)",False,{'account_06'}
How do I get a new username,account_10,0.6042060554080039,"['account_10', 'shipping_04', 'account_07']",True,False,"('account_07',)",False,"{'account_10', 'account_07'}"
Can I rename myself on the site,tech_10,0.400602537174651,['tech_10'],True,False,"('account_07',)",False,"{'account_10', 'account_07'}"
What cards do you take,shipping_02,0.2740741809837264,"['shipping_02', 'payments_12', 'payments_03']",False,True,"('payments_01',)",False,"{'payments_01', 'payments_09', 'payments_08'}"
Which payment options are available,payments_09,0.6853166186501085,"['payments_09', 'payments_11', 'payments_07']",True,False,"('payments_01',)",False,"{'payments_01', 'payments_09', 'payments_08'}"
Add a new credit card to my wallet,payments_02,0.6202587689798148,"['payments_02', 'account_10', 'payments_12']",True,False,"('payments_02',)",False,"{'payments_02', 'payments_10'}"
Store my card for future use,payments_08,0.4581842935214999,"['payments_08', 'payments_12', 'payments_03']",True,False,"('payments_02',)",False,"{'payments_02', 'payments_10'}"
My credit card got rejected,payments_02,0.504439968280458,"['payments_02', 'payments_11', 'payments_12']",True,False,"('payments_03',)",False,"{'payments_03', 'payments_11'}"
Why did my payment not go through,payments_11,0.27003775772602623,"['payments_11', 'payments_07', 'payments_14']",False,True,"('payments_03',)",False,"{'payments_03', 'payments_11'}"
